Devices
1000
,,DelSys EMG - Voltage,,,Delsys ACC - Acceleration,,
Frame,Sub Frame,Right TA,Right GL,Right GM,1,2
,,V,V,V,mm/s²,mm/s²
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,0,-0.0149821,0.0353017,-0.0195789,,
14,1,0.000810776,0.0307241,-0.0152683,,
14,2,-0.0184916,0.03328,-0.0193119,,
14,3,-0.0334071,0.0404516,-0.0200748,,
14,4,-0.0462244,0.041329,-0.0282764,,
15,0,-0.0593089,0.0386205,-0.0198841,,
15,1,-0.0633524,0.0329366,-0.016489,,
15,2,-0.0524043,0.0325933,-0.0177479,,
15,3,-0.051832,0.0347295,-0.0169849,,
15,4,-0.0306605,0.0429693,-0.0251865,,
16,0,-0.00433907,0.0382772,-0.0205326,,
16,1,0.0030233,0.0335851,-0.0178242,,
16,2,0.0150014,0.0311437,-0.016222,,
16,3,0.0151159,0.0360265,-0.0165272,,
16,4,0.00573174,0.0365224,-0.0218678,,
17,0,-0.0144862,0.0394598,-0.0212955,,
17,1,-0.00720009,0.0349966,-0.0183582,,
17,2,0.0203802,0.0323263,-0.0109196,,
17,3,0.0100042,0.0346914,-0.0165272,,
17,4,0.00874535,0.0356451,-0.0235844,,
18,0,0.00828758,0.0388876,-0.0228214,,
18,1,0.0211813,0.0357977,-0.0171375,,
18,2,0.0162603,0.0307241,-0.0139713,,
18,3,0.031748,0.0313726,-0.0138569,,
18,4,0.035639,0.0352255,-0.0249958,,
19,0,0.019045,0.0389639,-0.022974,,
19,1,0.0231649,0.0340047,-0.0212574,,
19,2,0.0184347,0.0321355,-0.0196171,,
19,3,0.015917,0.0262609,-0.0116825,,
19,4,0.00275627,0.034577,-0.0196171,,
20,0,-0.00334724,0.0373617,-0.0231266,,
20,1,-0.00475868,0.0344244,-0.018816,,
20,2,-0.0154398,0.0335088,-0.0191593,,
20,3,-0.00128731,0.0229803,-0.0133991,,
20,4,0.00470177,0.0342718,-0.0209522,,
21,0,-0.00613197,0.0370947,-0.0251865,,
