	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d
	Gaitway.Time	Gaitway.Speed	Gaitway.Grade	Gaitway.GRFx	Gaitway.GRFy	Gaitway.GRFz	Gaitway.CoPx	Gaitway.CoPy	Gaitway.Mx	Gaitway.My	Gaitway.Mz	Gaitway.Tz	Gaitway.FxL	Gaitway.FyL	Gaitway.FzL	Gaitway.CoPxL	Gaitway.CoPyL	Gaitway.FxR	Gaitway.FyR	Gaitway.FzR	Gaitway.CoPxR	Gaitway.CoPyR
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
0	0.0	0.0	0.0	0.5937	-2.0085	786.1585	0.5673	0.8688	683.0159	-445.9958	-1.5677	0.0876										
1	0.001	0.0	0.0	0.5697	-2.0149	786.2078	0.5673	0.8689	683.1197	-446.0137	-1.5466	0.0915										
2	0.002	0.0	0.0	0.5456	-2.0225	786.2583	0.5673	0.869	683.2251	-446.0319	-1.5265	0.095										
3	0.003	0.0	0.0	0.5215	-2.0312	786.3098	0.5673	0.869	683.3312	-446.0502	-1.5076	0.0979										
4	0.004	0.0	0.0	0.4977	-2.0412	786.3619	0.5673	0.8691	683.4372	-446.0685	-1.4902	0.1003										
5	0.005	0.0	0.0	0.4743	-2.0527	786.4144	0.5672	0.8692	683.5422	-446.0866	-1.4745	0.1021										
6	0.006	0.0	0.0	0.4515	-2.0656	786.467	0.5672	0.8693	683.6454	-446.1044	-1.4608	0.1033										
7	0.007	0.0	0.0	0.4296	-2.0801	786.5194	0.5672	0.8693	683.7459	-446.1219	-1.4493	0.104										
8	0.008	0.0	0.0	0.4086	-2.0962	786.5712	0.5672	0.8694	683.843	-446.1388	-1.4402	0.1041										
9	0.009	0.0	0.0	0.3888	-2.1142	786.6224	0.5672	0.8695	683.9359	-446.1551	-1.4336	0.1036										
10	0.01	0.0	0.0	0.3703	-2.1339	786.6727	0.5672	0.8695	684.0241	-446.1706	-1.4297	0.1026										
11	0.011	0.0	0.0	0.3532	-2.1555	786.722	0.5671	0.8696	684.1069	-446.1855	-1.4286	0.101										
12	0.012	0.0	0.0	0.3376	-2.1791	786.7701	0.5671	0.8696	684.1839	-446.1996	-1.4304	0.099										
13	0.013	0.0	0.0	0.3236	-2.2045	786.8171	0.5671	0.8696	684.2548	-446.2128	-1.4351	0.0965										
14	0.014	0.0	0.0	0.3112	-2.2318	786.8629	0.5671	0.8697	684.3195	-446.2254	-1.4427	0.0936										
15	0.015	0.0	0.0	0.3005	-2.2609	786.9076	0.5671	0.8697	684.3777	-446.2372	-1.4532	0.0903										
16	0.016	0.0	0.0	0.2915	-2.2918	786.9514	0.5671	0.8697	684.4297	-446.2485	-1.4665	0.0867										
17	0.017	0.0	0.0	0.2841	-2.3244	786.9944	0.567	0.8697	684.4756	-446.2592	-1.4824	0.0827										
18	0.018	0.0	0.0	0.2783	-2.3585	787.0369	0.567	0.8697	684.5157	-446.2696	-1.5008	0.0785										
